cell_id,row,col,center_lon,center_lat,theta_rad,theta_deg,rho,R,X_center,Y_center,fixed_cell_side,four_vertex_area,four_vertex_signed_area,source_center_theta_rad,source_center_R,source_center_X,source_center_Y
59,6,15,116.7500000000,39.9500000000,5.2154269219,298.821951,0.6833786139,1.5808718218,0.7621214954,-1.3850366577,0.1924192755,0.0370251776,0.0370251776,5.2112014376,1.5213971703,0.7278105941,-1.3360168744
60,7,3,115.5500000000,40.0500000000,3.4535922530,197.876260,1.0446138604,1.8879217814,-1.7967760731,-0.5795208329,0.1775577338,0.0315267488,0.0315267488,3.4738511714,1.7710620303,-1.6741992374,-0.5776829827
61,7,4,115.6499940000,40.0500000000,3.4960262808,200.307551,0.8465679848,1.7195827871,-1.6126990308,-0.5967971160,0.1375938343,0.0189320632,0.0189320632,3.5096602844,1.6814801872,-1.5688620075,-0.6050186951
62,7,5,115.7500000000,40.0500000000,3.5497196476,203.383954,0.7333713504,1.6233656478,-1.4900318274,-0.6442989832,0.1533249688,0.0235085461,0.0235085461,3.5536368632,1.6013635439,-1.4673359267,-0.6413193261
63,7,6,115.8500060000,40.0500000000,3.6129396796,207.006195,0.6234263074,1.5299123613,-1.3630867854,-0.6947130694,0.1659301320,0.0275328087,0.0275328087,3.6086814930,1.5540978834,-1.3876274764,-0.6997929821
64,7,7,115.9500000000,40.0500000000,3.6827477869,211.005905,0.5277207716,1.4485626558,-1.2415836417,-0.7461928897,0.1159500834,0.0134444218,0.0134444218,3.6790628403,1.4741092132,-1.2662695483,-0.7546915951
65,7,8,116.0500000000,40.0500000000,3.7647795490,215.705979,0.4422026977,1.3758722931,-1.1172394359,-0.8029947756,0.1584087041,0.0250933176,0.0250933176,3.7711516912,1.3767407495,-1.1128019537,-0.8106089706
66,7,9,116.1499940000,40.0500000000,3.8920777191,222.999627,0.3653863879,1.3105784297,-0.9585022070,-0.8938060973,0.1530528607,0.0234251782,0.0234251782,3.8942376017,1.3023171367,-0.9505396758,-0.8902270773
67,7,10,116.2500000000,40.0500000000,4.0589102265,232.558425,0.3292290423,1.2798446859,-0.7780842873,-1.0161630095,0.1662328478,0.0276333597,0.0276333597,4.0608312544,1.2791963490,-0.7757376071,-1.0171403366
68,7,11,116.3500060000,40.0500000000,4.2700368318,244.655089,0.3230862232,1.2746232897,-0.5456233968,-1.1519373418,0.1946410873,0.0378851529,0.0378851529,4.2832487243,1.2937845136,-0.5383297253,-1.1764690708
69,7,12,116.4500000000,40.0500000000,4.5576738545,261.135476,0.3114687412,1.2647484300,-0.1948960055,-1.2496416039,0.2107233658,0.0444043369,0.0444043369,4.5610226441,1.2526928138,-0.1888922796,-1.2383694895
70,7,13,116.5500000000,40.0500000000,4.8733168296,279.220487,0.3293644416,1.2799597753,0.2050932487,-1.2634214601,0.2240791847,0.0502114810,0.0502114810,4.8637553167,1.3042710862,0.1966697151,-1.2893580144
71,7,14,116.6499940000,40.0500000000,5.1380279655,294.387317,0.4395746746,1.3736384734,0.5671792237,-1.2510756907,0.1875359325,0.0351697260,0.0351697260,5.1415292364,1.3407899591,0.5578881821,-1.2192122418
72,7,15,116.7500000000,40.0500000000,5.3792050497,308.205746,0.8092830739,1.6878906128,1.0439387555,-1.3263357778,0.3003130039,0.0901879003,0.0901879003,5.3639467063,1.7629388532,1.0690915187,-1.4017834087
73,7,16,116.8500060000,40.0500000000,5.5193102340,316.233182,0.9602670688,1.8162270085,1.3116082296,-1.2563297331,0.2865402303,0.0821053036,0.0821053036,5.5305403591,1.8336002496,1.3383144073,-1.2533971528
74,7,17,116.9500000000,40.0500000000,5.6459929156,323.491565,0.9954238661,1.8461102862,1.4838467453,-1.0983269209,0.2870754714,0.0824123263,0.0824123263,5.6536262696,1.8267402669,1.4765308128,-1.0755634623
