cell_id,row,col,center_lon,center_lat,theta_rad,theta_deg,rho,R,X_center,Y_center,fixed_cell_side,four_vertex_area,four_vertex_signed_area,source_center_theta_rad,source_center_R,source_center_X,source_center_Y
121,11,8,116.0500000000,40.4500000000,2.7314107599,156.498309,0.6433083412,1.5468120900,-1.4185014024,0.6168317543,0.2083363135,0.0434040195,0.0434040195,2.7295523583,1.5225720013,-1.3951413026,0.6097591696
122,11,9,116.1499940000,40.4500000000,2.6343552494,150.937438,0.5416370161,1.4603914637,-1.2765132999,0.7094061054,0.2356632790,0.0555371811,0.0555371811,2.6296412619,1.4435695557,-1.2584898228,0.7071749628
123,11,10,116.2500000000,40.4500000000,2.4616412149,141.041652,0.4717607641,1.4009966495,-1.0894195518,0.8808840173,0.2959011326,0.0875574803,0.0875574803,2.4750103292,1.4358987829,-1.1285294461,0.8878212681
124,11,11,116.3500060000,40.4500000000,2.2332819196,127.957628,0.3706560312,1.3150576266,-0.8088637446,1.0368780082,0.3062242902,0.0937733159,0.0937733159,2.2223399081,1.3480726371,-0.8174908000,1.0719181997
125,11,12,116.4500000000,40.4500000000,1.8633643273,106.762912,0.2306983531,1.1960936001,-0.3449678075,1.1452672666,0.3406001213,0.1160084426,0.1160084426,1.8197469904,1.2706587357,-0.3130739314,1.2314862306
126,11,13,116.5500000000,40.4500000000,1.2879145508,73.792068,0.2009655937,1.1708207547,0.3268042235,1.1242865467,0.3182122561,0.1012590400,0.1012590400,1.3218456632,1.2032737452,0.2964711384,1.1661786183
127,11,14,116.6499940000,40.4500000000,0.9086442017,52.061478,0.3066869518,1.2606839090,0.7750881250,0.9942647117,0.2745801443,0.0753942557,0.0753942557,0.9192527455,1.2915924626,0.7832404030,1.0270080626
128,11,15,116.7500000000,40.4500000000,0.6783672157,38.867578,0.3717509696,1.3159883242,1.0246263578,0.8258123856,0.2404876263,0.0578342984,0.0578342984,0.6665823244,1.3207311446,1.0380146601,0.8166127122
129,11,16,116.8500060000,40.4500000000,0.4940971770,28.309683,0.4491343702,1.3817642147,1.2165013742,0.6552837183,0.2371444312,0.0562374812,0.0562374812,0.5119513917,1.3324059748,1.1615785000,0.6527182164
130,11,17,116.9500000000,40.4500000000,0.3530388086,20.227634,0.5703702920,1.4848147482,1.3932408423,0.5133758777,0.0971742390,0.0094428327,0.0094428327,0.4120402953,1.4188534681,1.3001034263,0.5682220032
131,11,18,117.0500000000,40.4500000000,0.3363634803,19.272208,0.6525028797,1.5546274478,1.4675079315,0.5131149700,0.1689357259,0.0285392795,0.0285392795,0.3434238057,1.6551051499,1.5584591693,0.5572953210
132,11,19,117.1499940000,40.4500000000,0.2997165249,17.172492,0.8248663110,1.7011363643,1.6253000852,0.5022594580,0.2252220636,0.0507249779,0.0507249779,0.2938240562,1.7495162669,1.6745379033,0.5066852856
133,11,20,117.2500000000,40.4500000000,0.2588301692,14.829876,1.0126163780,1.8607239213,1.7987433146,0.4762520337,0.2018280539,0.0407345633,0.0407345633,0.2564608147,1.8439387141,1.7836304479,0.4677311261
134,12,6,115.8500060000,40.5500000000,2.6748214089,153.255978,0.9339665532,1.7938715702,-1.6019737689,0.8072516673,0.1832741186,0.0335894025,0.0335894025,2.6745070306,1.8129399117,-1.6187457316,0.8163414604
135,12,7,115.9500000000,40.5500000000,2.6060213266,149.314023,0.8739916055,1.7428928647,-1.4988481308,0.8894547873,0.1844194842,0.0340105461,0.0340105461,2.6041259851,1.7288082331,-1.4850608022,0.8850832281
136,12,8,116.0500000000,40.5500000000,2.5047770154,143.513152,0.8367586025,1.7112448122,-1.3758294908,1.0175716286,0.2569110650,0.0660032953,0.0660032953,2.5120374233,1.6877275315,-1.3641723786,0.9937091838
137,12,9,116.1499940000,40.5500000000,2.3805349493,136.394606,0.7718113530,1.6560396500,-1.1991497873,1.1421502134,0.2441491376,0.0596088014,0.0596088014,2.3889516969,1.6766713854,-1.2237792070,1.1461201451
138,12,10,116.2500000000,40.5500000000,2.2276361150,127.634148,0.6674590210,1.5673401679,-0.9570449460,1.2412172144,0.2630357951,0.0691878295,0.0691878295,2.2223579103,1.5801327138,-0.9582380150,1.2564232168
139,12,11,116.3500060000,40.5500000000,2.0065111798,114.964622,0.5490085150,1.4666572377,-0.6190152600,1.3296253461,0.2789238403,0.0777985087,0.0777985087,1.9999396097,1.4664727009,-0.6101874463,1.3334967053
140,12,12,116.4500000000,40.5500000000,1.7469116157,100.090663,0.4320393330,1.3672334330,-0.2395478887,1.3460847185,0.2831438463,0.0801704377,0.0801704377,1.7221638556,1.3307738213,-0.2006676045,1.3155574773
141,12,13,116.5500000000,40.5500000000,1.4115576694,80.876297,0.3685740109,1.3132879093,0.2082435228,1.2966725754,0.2329199320,0.0542516947,0.0542516947,1.4194287980,1.2803597628,0.1930656603,1.2657198636
142,12,14,116.6499940000,40.5500000000,1.1286479936,64.666767,0.4464341885,1.3794690602,0.5902502406,1.2468117506,0.2293197716,0.0525875576,0.0525875576,1.1416530439,1.3906044943,0.5786192983,1.2645080337
143,12,15,116.7500000000,40.5500000000,0.9150806343,52.430258,0.5475018526,1.4653765747,0.8934791729,1.1614746976,0.2313568293,0.0535259824,0.0535259824,0.9192347433,1.4859977872,0.9011518826,1.1815729804
144,12,16,116.8500060000,40.5500000000,0.7585836750,43.463643,0.6168988092,1.5243639878,1.1064001810,1.0486010713,0.2245762281,0.0504344822,0.0504344822,0.7526409567,1.5334172245,1.1192199804,1.0481960790
145,12,17,116.9500000000,40.5500000000,0.6402215952,36.681995,0.6438257552,1.5472518919,1.2408393918,0.9242867633,0.1729787647,0.0299216530,0.0299216530,0.6295552303,1.5422044504,1.2465476057,0.9080273309
146,12,18,117.0500000000,40.5500000000,0.5367267917,30.752180,0.6711385790,1.5704677922,1.3496395384,0.8030206739,0.2024841811,0.0409998436,0.0409998436,0.5374666685,1.5897240702,1.3655863373,0.8138774937
147,12,19,117.1499940000,40.5500000000,0.4409485485,25.264491,0.7748178567,1.6585951782,1.4999459584,0.7078842328,0.1703603233,0.0290226398,0.0290226398,0.4670856230,1.5651550499,1.3975024985,0.7047674062
148,12,20,117.2500000000,40.5500000000,0.3447682043,19.753763,0.9939394913,1.8448485676,1.7362862764,0.6235192087,0.0726735366,0.0052814429,0.0052814429,0.4120412739,1.6980894169,1.5559682338,0.6800518532
149,13,9,116.1499940000,40.6500000000,2.2252572486,127.497849,0.9466140376,1.8046219320,-1.0985304683,1.4317440859,0.2393499093,0.0572883791,0.0572883791,2.2223656253,1.8121927904,-1.0989770500,1.4409344722
150,13,10,116.2500000000,40.6500000000,2.0761814463,118.956434,0.8163067306,1.6938607210,-0.8200732692,1.4821079499,0.2376475352,0.0564763510,0.0564763510,2.0696111845,1.7011447536,-0.8138023744,1.4938604915
151,13,11,116.3500060000,40.6500000000,1.9118574464,109.541363,0.7050940594,1.5993299505,-0.5349555244,1.5072089694,0.1809785344,0.0327532299,0.0327532299,1.8866967009,1.6528675377,-0.5135003546,1.5710787641
152,13,12,116.4500000000,40.6500000000,1.6691865779,95.637346,0.5554742712,1.4721531305,-0.1446119297,1.4650331838,0.1706292833,0.0291143523,0.0291143523,1.6793211825,1.4926774161,-0.1616748065,1.4838959281
153,13,13,116.5500000000,40.6500000000,1.4744750243,84.481196,0.4979107276,1.4232241185,0.1368749219,1.4166270318,0.1681132948,0.0282620799,0.0282620799,1.4622714711,1.4334125936,0.1552557178,1.4249797632
154,13,14,116.6499940000,40.6500000000,1.2373524465,70.895073,0.5699029632,1.4844175187,0.4858486024,1.4026569450,0.1950897308,0.0380600031,0.0380600031,1.2548959527,1.5028654509,0.4668988435,1.4284992241
155,13,15,116.7500000000,40.6500000000,1.0673247327,61.153203,0.6724168976,1.5715543630,0.7582266610,1.3765447491,0.2085600376,0.0434972893,0.0434972893,1.0719814691,1.5710920621,0.7515870991,1.3796547032
156,13,16,116.8500060000,40.6500000000,0.9164397525,52.508130,0.7843382125,1.6666874807,1.0144274182,1.3224160357,0.2096738449,0.0439631213,0.0439631213,0.9192270282,1.6804031118,1.0190551824,1.3361441364
157,13,17,116.9500000000,40.6500000000,0.7997467716,45.822115,0.8633083510,1.7338120984,1.2082734385,1.2434547399,0.2030727803,0.0412385541,0.0412385541,0.7952049166,1.7537608417,1.2278754304,1.2521976749
158,13,18,117.0500000000,40.6500000000,0.6978062149,39.981351,0.8825957421,1.7502063807,1.3411019765,1.1245745257,0.1859773059,0.0345875583,0.0345875583,0.6953607857,1.7462632400,1.3408203984,1.1187653742
159,13,19,117.1499940000,40.6500000000,0.6226123898,35.673062,0.9034132227,1.7679012393,1.4361683452,1.0309681256,0.1481822876,0.0219579904,0.0219579904,0.6147599655,1.7689542832,1.4450798281,1.0202664096
160,13,20,117.2500000000,40.6500000000,0.5560806826,31.861076,0.9208873789,1.7827542720,1.5141475517,0.9410472816,0.1712798451,0.0293367853,0.0293367853,0.5491126971,1.8183097523,1.5509963413,0.9490314559
161,13,21,117.3500060000,40.6500000000,0.4917563867,28.175566,0.9754783708,1.8291566152,1.6124105137,0.8636818038,0.1925706170,0.0370834425,0.0370834425,0.4950517736,1.7811883130,1.5673461730,0.8462019738
162,14,10,116.2500000000,40.7500000000,1.9702868488,112.889121,0.9755907821,1.8292521648,-0.7114858579,1.6852155222,0.2331532801,0.0543604520,0.0543604520,1.9715700637,1.8077609722,-0.7052633871,1.6645129280
163,14,11,116.3500060000,40.7500000000,1.8323236319,104.984411,0.8387581639,1.7129444393,-0.4428924459,1.6546978375,0.2492431059,0.0621221258,0.0621221258,1.8197363775,1.8119803828,-0.4464299690,1.7561244803
164,14,12,116.4500000000,40.7500000000,1.6565469549,94.913149,0.6782935887,1.5765495504,-0.1350244957,1.5707567827,0.1827523395,0.0333984176,0.0333984176,1.6553354653,1.6361565535,-0.1381545662,1.6303133390
165,14,13,116.5500000000,40.7500000000,1.4903205086,85.389075,0.6220474466,1.5287403296,0.1228938778,1.5237926664,0.1694974451,0.0287293839,0.0287293839,1.4862571883,1.5537618230,0.1311972807,1.5482128652
166,14,14,116.6499940000,40.7500000000,1.3137264731,75.270982,0.6814565505,1.5792380679,0.4015177860,1.5273429028,0.2015179745,0.0406094940,0.0406094940,1.3218562761,1.6098153277,0.3966211851,1.5601913424
167,14,15,116.7500000000,40.7500000000,1.1663797224,66.828635,0.8048600114,1.6841310097,0.6626760683,1.5482757139,0.1939881347,0.0376313964,0.0376313964,1.1700225899,1.6915690342,0.6599333236,1.5575281076
168,14,16,116.8500060000,40.7500000000,1.0328913908,59.180317,0.8971802925,1.7626032486,0.9030484647,1.5136953731,0.1934824841,0.0374354716,0.0374354716,1.0353933408,1.7599286348,0.8978938970,1.5136496786
169,15,12,116.4500000000,40.8500020000,1.6459743035,94.307381,0.8427197962,1.7163118267,-0.1289073455,1.7114640466,0.1943957732,0.0377897167,0.0377897167,1.6400189058,1.7796385604,-0.1230928105,1.7753764575
170,15,13,116.5500000000,40.8500020000,1.5043270102,86.191589,0.7620555275,1.6477471984,0.1094439982,1.6441085247,0.1619536054,0.0262289703,0.0262289703,1.5015737478,1.6760988829,0.1159312496,1.6720847499
171,15,14,116.6499940000,40.8500020000,1.3616115836,78.014597,0.8077918756,1.6866230942,0.3502483418,1.6498556183,0.1826939594,0.0333770828,0.0333770828,1.3657283321,1.6454719594,0.3350735933,1.6109946171
172,15,15,116.7500000000,40.8500020000,1.2332831473,70.661919,0.9387126664,1.7979057664,0.5953613952,1.6964698506,0.1769444833,0.0313093502,0.0313093502,1.2370940427,1.7989248011,0.5892257966,1.6996892071
173,16,12,116.4500000000,40.9500000000,1.6330385102,93.566214,1.0119122507,1.8601254131,-0.1157035257,1.8565234301,0.1763668202,0.0311052553,0.0311052553,1.6293960428,1.8375043208,-0.1076156160,1.8343502959
174,16,13,116.5500000000,40.9500000000,1.5088100029,86.448445,0.9249073623,1.7861712579,0.1106473015,1.7827408497,0.1808157810,0.0326943467,0.0326943467,1.5121966108,1.8017069229,0.1055190990,1.7986143432
175,16,14,116.6499940000,40.9500000000,1.3998242589,80.204022,0.9479716456,1.8057758988,0.3072352970,1.7794474055,0.1844315774,0.0340150067,0.0340150067,1.3965867365,1.7365887791,0.3010024917,1.7103035074
176,17,14,116.6499940000,41.0500000000,1.4340142711,82.162965,1.0775314469,1.9159017299,0.2612445770,1.8980070362,0.1074680364,0.0115493788,0.0115493788,1.4194351581,1.8410790821,0.2776050434,1.8200295674
