row,col,anchor,lon,lat,theta_rad,theta_deg,rho_unclipped,R,X_top_left,Y_top_left,fixed_cell_side
8,21,top_left,117.300003,40.200000,6.2028406046,355.396588,0.9162575467,1.7788189147,1.7730806233,-0.1427649631,0.1684189021
9,8,top_left,116.000000,40.300001,3.0050753915,172.178137,0.8805683239,1.7484830753,-1.7322151572,0.2379573782,0.1684189021
9,9,top_left,116.099997,40.300001,2.9681907296,170.064802,0.6743850041,1.5732272535,-1.5496343815,0.2714355813,0.1684189021
9,10,top_left,116.199997,40.300001,2.9045036571,166.415801,0.4837108471,1.4111542200,-1.3716783259,0.3314435139,0.1684189021
9,11,top_left,116.300003,40.300001,2.7702333152,158.722677,0.2373633199,1.2017588219,-1.1198408436,0.4360971806,0.1684189021
9,12,top_left,116.400003,40.300001,2.3548607671,134.923583,0.1418489545,1.1205716113,-0.7913062868,0.7934198740,0.1684189021
9,13,top_left,116.500000,40.300001,1.0503530159,60.180795,0.0869001026,1.0738650872,0.5339953107,0.9316840847,0.1684189021
9,14,top_left,116.599997,40.300001,0.4364876763,25.008902,0.1728863452,1.1469533934,1.0394174710,0.4848849426,0.1684189021
9,15,top_left,116.699997,40.300001,0.2630024724,15.068932,0.3075301114,1.2614005947,1.2180257536,0.3279401225,0.1684189021
9,16,top_left,116.800003,40.300001,0.1870108946,10.714935,0.4361308970,1.3707112625,1.3468120432,0.2548463957,0.1684189021
9,17,top_left,116.900003,40.300001,0.1448501952,8.299305,0.5447967911,1.4630772724,1.4477552549,0.2111867117,0.1684189021
9,18,top_left,117.000000,40.300001,0.1181302358,6.768364,0.6610481166,1.5618908991,1.5510056658,0.1840777156,0.1684189021
9,19,top_left,117.099997,40.300001,0.0997052347,5.712689,0.7837342072,1.6661740762,1.6578991050,0.1658511668,0.1684189021
9,20,top_left,117.199997,40.300001,0.0862395993,4.941165,0.9039332232,1.7683432397,1.7617714925,0.1523122506,0.1684189021
10,7,top_left,115.900003,40.400001,2.8089216845,160.939358,0.8335523128,1.7085194658,-1.6148472569,0.5579490140,0.1684189021
10,8,top_left,116.000000,40.400001,2.7439197371,157.215020,0.6762128620,1.5747809327,-1.4518924432,0.6098715597,0.1684189021
10,9,top_left,116.099997,40.400001,2.6498688703,151.826303,0.5140214074,1.4369181963,-1.2666725466,0.6784353781,0.1684189021
10,10,top_left,116.199997,40.400001,2.5052574924,143.540681,0.4365808562,1.3710937278,-1.1027418806,0.8147750334,0.1684189021
10,11,top_left,116.300003,40.400001,2.2693281729,130.022927,0.4083621467,1.3471078247,-0.8663170770,1.0315978933,0.1684189021
10,12,top_left,116.400003,40.400001,1.8860799313,108.064420,0.2827259015,1.2403170162,-0.3846050774,1.1791798994,0.1684189021
10,13,top_left,116.500000,40.400001,1.3855063833,79.383668,0.1850076387,1.1572564929,0.2132031247,1.1374475891,0.1684189021
10,14,top_left,116.599997,40.400001,0.9593706386,54.967889,0.2970401268,1.2524841078,0.7189702659,1.0255721316,0.1684189021
10,15,top_left,116.699997,40.400001,0.6887724906,39.463757,0.3333266282,1.2833276339,0.9907633126,0.8156701995,0.1684189021
10,16,top_left,116.800003,40.400001,0.5245352379,30.053655,0.3467122803,1.2947054382,1.1206410869,0.6484024414,0.1684189021
10,17,top_left,116.900003,40.400001,0.4195595319,24.038990,0.5483329021,1.4660829667,1.3389273292,0.5972209579,0.1684189021
10,18,top_left,117.000000,40.400001,0.3481259926,19.946150,0.6904824420,1.5869100757,1.4917171420,0.5413534489,0.1684189021
10,19,top_left,117.099997,40.400001,0.2968527934,17.008412,0.8022014174,1.6818712048,1.6083092184,0.4919676895,0.1684189021
10,20,top_left,117.199997,40.400001,0.2584454172,14.807832,0.9585317656,1.8147520008,1.7544812979,0.4638105210,0.1684189021
11,6,top_left,115.800003,40.500000,2.6852436369,153.853127,0.9237041475,1.7851485254,-1.6024695801,0.7866679747,0.1684189021
11,7,top_left,115.900003,40.500000,2.6174862694,149.970916,0.8333223880,1.7083240298,-1.4790182372,0.8549128873,0.1684189021
11,8,top_left,116.000000,40.500000,2.5290360515,144.903092,0.7379047601,1.6272190461,-1.3313592940,0.9355876518,0.1684189021
11,9,top_left,116.099997,40.500000,2.4109674190,138.138258,0.7576194837,1.6439765612,-1.2243635561,1.0970837781,0.1684189021
11,10,top_left,116.199997,40.500000,2.2510036937,128.973011,0.6748784656,1.5736466958,-0.9897517826,1.2234195241,0.1684189021
11,11,top_left,116.300003,40.500000,2.0360218287,116.655458,0.5633625785,1.4788581917,-0.6634517928,1.3216857682,0.1684189021
11,12,top_left,116.400003,40.500000,1.7633428680,101.032104,0.4778473280,1.4061702288,-0.2690833206,1.3801843641,0.1684189021
11,13,top_left,116.500000,40.500000,1.4592206702,83.607186,0.3358252924,1.2854514985,0.1431276940,1.2774584214,0.1684189021
11,14,top_left,116.599997,40.500000,1.1739814076,67.264180,0.4082100075,1.3469785064,0.5205839146,1.2423137625,0.1684189021
11,15,top_left,116.699997,40.500000,0.9427963812,54.018254,0.5055329123,1.4297029755,0.8399897888,1.1569216710,0.1684189021
11,16,top_left,116.800003,40.500000,0.7691256407,44.067653,0.5547268104,1.4715177888,1.0573135894,1.0234513064,0.1684189021
11,17,top_left,116.900003,40.500000,0.6410735643,36.730810,0.5737706668,1.4877050668,1.1923274266,0.8897312366,0.1684189021
11,18,top_left,117.000000,40.500000,0.5456436223,31.263077,0.5753544974,1.4890513228,1.2728313149,0.7727705260,0.1684189021
11,19,top_left,117.099997,40.500000,0.4729981790,27.100799,0.6458539446,1.5489758529,1.3789082934,0.7056472995,0.1684189021
11,20,top_left,117.199997,40.500000,0.4163982692,23.857863,0.9237664473,1.7852014802,1.6326589736,0.7220588625,0.1684189021
