source_lon,source_lat,theta_rad,boundary_radius
116.4000000000,40.3000020000,3.141579541730,0.425513582472
116.4000060000,40.3000020000,3.141579540943,0.425513582664
116.5000000000,40.3000020000,1.570796326795,0.681153003747
116.5999940000,40.3000020000,0.000013112647,0.598259701323
116.6000000000,40.3000020000,0.000013111860,0.598259701752
116.6999940000,40.3000020000,0.000006556127,0.598263275477
116.7000000000,40.3000020000,0.000006555930,0.598263275584
116.8000000000,40.3000020000,0.000004370620,0.598264466876
116.8000060000,40.3000020000,0.000004370533,0.598264466924
116.9000000000,40.3000020000,0.000003277965,0.598265062525
116.9000060000,40.3000020000,0.000003277916,0.598265062552
117.0000000000,40.3000020000,0.000002622372,0.598265419916
117.0999940000,40.3000020000,0.000002185332,0.598265658165
117.1000000000,40.3000020000,0.000002185310,0.598265658176
117.1999940000,40.3000020000,0.000001873139,0.598265828354
117.2000000000,40.3000020000,0.000001873123,0.598265828363
117.3000000000,40.3000020000,0.000001638982,0.598265956003
115.8000060000,40.4000000000,2.956426311296,0.523376951025
115.9000000000,40.4000000000,2.926446052753,0.544230935154
115.9000060000,40.4000000000,2.926443967047,0.544232461006
116.0000000000,40.4000000000,2.885132656787,0.573769814442
116.0999940000,40.4000000000,2.824840904915,0.577825877735
116.1000000000,40.4000000000,2.824836465131,0.577826256077
116.1999940000,40.4000000000,2.729560920616,0.609234341756
116.2000000000,40.4000000000,2.729553581520,0.609229863551
116.3000000000,40.4000000000,2.561300260914,0.553149659593
116.3000060000,40.4000000000,2.561286505078,0.553148952164
116.4000000000,40.4000000000,2.222360803484,0.460667098235
116.4000060000,40.4000000000,2.222331871132,0.460669829392
116.5000000000,40.4000000000,1.570796326795,0.681153003747
116.5999940000,40.4000000000,0.919260782458,0.549899841668
116.6000000000,40.4000000000,0.919231850106,0.549895511639
116.6999940000,40.4000000000,0.580306148512,0.683703276717
116.7000000000,40.4000000000,0.580292392676,0.683708693774
116.8000000000,40.4000000000,0.412039072070,0.760089401009
116.8000060000,40.4000000000,0.412031732974,0.760089439822
116.9000000000,40.4000000000,0.316756188459,0.582823250270
116.9000060000,40.4000000000,0.316751748675,0.582824092637
117.0000000000,40.4000000000,0.256459996803,0.595589085156
117.0999940000,40.4000000000,0.215148686543,0.579411221900
117.1000000000,40.4000000000,0.215146600837,0.579409600369
117.1999940000,40.4000000000,0.185166342293,0.567548207632
117.2000000000,40.4000000000,0.185164791183,0.567547887650
117.3000000000,40.4000000000,0.162452279981,0.563045277326
115.9000000000,40.4000020000,2.926441881342,0.544233986869
116.0000000000,40.4000020000,2.885127749509,0.573770057557
116.0999940000,40.4000020000,2.824834985147,0.577826382198
116.1000000000,40.4000020000,2.824830545291,0.577826760562
116.1999940000,40.4000020000,2.729553581447,0.609229863506
116.2000000000,40.4000020000,2.729546242251,0.609225385340
116.3000000000,40.4000020000,2.561291090512,0.553149187970
116.3000060000,40.4000020000,2.561277334567,0.553148480607
116.4000000000,40.4000020000,2.222351159605,0.460668008552
116.4000060000,40.4000020000,2.222322227406,0.460670739833
116.5000000000,40.4000020000,1.570796326795,0.681153003747
116.5999940000,40.4000020000,0.919270426184,0.549901285070
116.6000000000,40.4000020000,0.919241493985,0.549896954888
116.6999940000,40.4000020000,0.580315319023,0.683699665484
116.7000000000,40.4000020000,0.580301563077,0.683705082440
116.8000000000,40.4000020000,0.412046411339,0.760089362235
116.8000060000,40.4000020000,0.412039072143,0.760089401008
116.9000000000,40.4000020000,0.316762108298,0.582822127111
116.9000060000,40.4000020000,0.316757668443,0.582822969473
117.0000000000,40.4000020000,0.256464904081,0.595587934660
117.0999940000,40.4000020000,0.215152857992,0.579414465027
117.1000000000,40.4000020000,0.215150772248,0.579412843442
117.1999940000,40.4000020000,0.185169961583,0.567548954270
117.2000000000,40.4000020000,0.185168410444,0.567548634278
117.3000000000,40.4000020000,0.162455472195,0.563045884786
115.8000060000,40.5000000000,2.783150000645,0.616574639377
115.9000000000,40.5000000000,2.729551746698,0.609228743986
115.9000060000,40.5000000000,2.729548077045,0.609226504870
116.0000000000,40.5000000000,2.658559840054,0.583123109851
116.0999940000,40.5000000000,2.561304846018,0.553149895417
116.1000000000,40.5000000000,2.561297968303,0.553149541682
116.1999940000,40.5000000000,2.423271409386,0.464345679784
116.2000000000,40.5000000000,2.423261499323,0.464344159017
116.3000000000,40.5000000000,2.222358392491,0.460667325812
116.3000060000,40.5000000000,2.222343926494,0.460668691339
116.4000000000,40.5000000000,1.935110300044,0.519625475035
116.4000060000,40.5000000000,1.935090324495,0.519607229151
116.5000000000,40.5000000000,1.570796326795,0.681153003747
116.5999940000,40.5000000000,1.206502329095,0.610342995528
116.6000000000,40.5000000000,1.206482353545,0.610337400106
116.6999940000,40.5000000000,0.919248727096,0.549898037393
116.7000000000,40.5000000000,0.919234261098,0.549895872449
116.8000000000,40.5000000000,0.718331154266,0.607023359658
116.8000060000,40.5000000000,0.718321244204,0.607029699362
116.9000000000,40.5000000000,0.580294685287,0.683707790927
116.9000060000,40.5000000000,0.580287807571,0.683710499439
117.0000000000,40.5000000000,0.483032813536,0.815563475168
117.0999940000,40.5000000000,0.412044576545,0.760089371924
117.1000000000,40.5000000000,0.412040906892,0.760089391311
117.1999940000,40.5000000000,0.358442652945,0.616507855986
117.2000000000,40.5000000000,0.358439837057,0.616470927811
117.3000000000,40.5000000000,0.316757668421,0.582822969477
115.8000060000,40.6000000000,2.629628856459,0.586745728320
115.9000000000,40.6000000000,2.561297204101,0.553149502379
115.9000060000,40.6000000000,2.561292618875,0.553149266569
116.0000000000,40.6000000000,2.475008709341,0.473063719732
116.0999940000,40.6000000000,2.364578275447,0.456285772740
116.1000000000,40.6000000000,2.364570776557,0.456284860721
116.1999940000,40.6000000000,2.222367232647,0.460666491392
116.2000000000,40.6000000000,2.222357588831,0.460667401672
116.3000000000,40.6000000000,2.041178869321,0.488331374670
116.3000060000,40.6000000000,2.041166749110,0.488333678362
116.4000000000,40.6000000000,1.819746194436,0.486053971773
116.4000060000,40.6000000000,1.819731866944,0.486051743340
116.5000000000,40.6000000000,1.570796326795,0.681153003747
116.5999940000,40.6000000000,1.321860786645,0.647190961287
116.6000000000,40.6000000000,1.321846459154,0.647180971167
116.6999940000,40.6000000000,1.100425904480,0.599238203927
116.7000000000,40.6000000000,1.100413784269,0.599238636948
