cell_id,row,col,initial_layer,optimized_layer,layer_changed,initial_slot,optimized_slot,source_radius,source_theta_deg,optimized_center_theta_deg,angular_displacement_deg,theta_left_deg,theta_right_deg,angular_width_deg,r_inner,r_outer,original_degree,preserved_degree,lost_degree,new_degree
53,6,9,1,1,0,8,7,1.3908789362,232.667987,243.517710,10.849723,238.713205,248.322215,9.609010,1.1416666667,1.2833333333,4,2,2,2
54,6,10,1,1,0,9,8,1.4156956038,241.420151,254.179682,12.759530,248.322215,260.037148,11.714933,1.1416666667,1.2833333333,4,3,1,2
55,6,11,1,1,0,10,9,1.4176416900,251.900338,260.787148,8.886810,260.037148,261.537148,1.500000,1.1416666667,1.2833333333,4,3,1,1
56,6,12,1,1,0,12,12,1.3504491640,263.782019,280.218793,16.436774,276.728769,283.708816,6.980047,1.1416666667,1.2833333333,4,3,1,1
57,6,13,1,1,0,14,13,1.4355269680,276.217981,288.112146,11.894165,283.708816,292.515475,8.806659,1.1416666667,1.2833333333,4,3,1,1
58,6,14,1,1,0,15,14,1.4271257510,288.099662,296.918779,8.819118,292.515475,301.322084,8.806609,1.1416666667,1.2833333333,4,4,0,1
59,6,15,2,2,0,14,16,1.5213971703,298.579849,309.292892,10.713044,298.170474,320.415311,22.244838,1.2833333333,1.4250000000,3,3,0,3
60,7,3,4,4,0,1,2,1.7710620303,199.037011,204.116087,5.079076,203.269101,204.963073,1.693972,1.5666666667,1.7083333333,2,2,0,2
61,7,4,3,3,0,2,2,1.6814801872,201.088722,204.342594,3.253872,203.224559,205.460628,2.236068,1.4250000000,1.5666666667,3,3,0,2
62,7,5,2,2,0,2,4,1.6013635439,203.608394,204.830227,1.221833,203.320008,206.340446,3.020438,1.2833333333,1.4250000000,3,2,1,3
63,7,6,2,2,0,3,6,1.5540978834,206.762219,222.504113,15.741894,217.116224,227.892002,10.775778,1.2833333333,1.4250000000,4,2,2,2
64,7,7,1,1,0,4,4,1.4741092132,210.794773,222.163334,11.368560,216.805074,227.521593,10.716518,1.1416666667,1.2833333333,4,3,1,1
65,7,8,1,1,0,5,3,1.3767407495,216.071076,216.055074,0.016002,215.305074,216.805074,1.500000,1.1416666667,1.2833333333,4,3,1,1
66,7,9,0,0,0,5,2,1.3023171367,223.123379,205.703563,17.419816,194.260682,217.146443,22.885761,1.0000000000,1.1416666667,4,3,1,1
67,7,10,0,0,0,6,3,1.2791963490,232.668492,222.108208,10.560284,217.146443,227.069972,9.923529,1.0000000000,1.1416666667,4,2,2,1
68,7,11,0,0,0,9,8,1.2937845136,245.412075,267.816270,22.404195,259.656000,275.976540,16.320539,1.0000000000,1.1416666667,4,3,1,2
69,7,12,0,1,1,11,11,1.2526928138,261.327348,273.366279,12.038931,270.003789,276.728769,6.724980,1.1416666667,1.2833333333,4,3,1,2
70,7,13,0,0,0,12,9,1.3042710862,278.672652,299.452722,20.780070,275.976540,322.928904,46.952365,1.0000000000,1.1416666667,4,4,0,3
71,7,14,0,1,1,14,15,1.3407899591,294.587925,311.205344,16.617419,301.322084,321.088605,19.766521,1.1416666667,1.2833333333,4,3,1,1
72,7,15,4,3,1,14,15,1.7629388532,307.331508,320.759243,13.427735,318.224041,323.294445,5.070405,1.4250000000,1.5666666667,4,3,1,2
73,7,16,5,4,1,14,17,1.8336002496,316.876621,328.211155,11.334534,318.367927,338.054383,19.686457,1.5666666667,1.7083333333,3,3,0,3
74,7,17,5,5,0,15,15,1.8267402669,323.928924,321.131620,2.797304,317.696376,324.566865,6.870488,1.7083333333,1.8500000000,2,1,1,2
75,8,6,2,2,0,1,3,1.5821387343,196.835090,202.570008,5.734918,201.820008,203.320008,1.500000,1.2833333333,1.4250000000,2,1,1,3
76,8,7,1,2,1,2,2,1.4447196465,199.676977,198.923158,0.753819,196.026307,201.820008,5.793701,1.2833333333,1.4250000000,4,1,3,3
77,8,8,1,2,1,3,5,1.3608186599,203.608450,211.728335,8.119885,206.340446,217.116224,10.775778,1.2833333333,1.4250000000,4,2,2,3
78,8,9,0,1,1,3,2,1.3033563548,209.332980,205.137269,4.195711,194.969464,215.305074,20.335610,1.1416666667,1.2833333333,4,3,1,5
79,8,10,0,0,0,4,4,1.2120767463,218.192725,229.731317,11.538592,227.069972,232.392662,5.322690,1.0000000000,1.1416666667,4,1,3,2
80,8,11,0,0,0,8,7,1.1675137619,232.669671,253.694867,21.025196,247.733734,259.656000,11.922266,1.0000000000,1.1416666667,4,2,2,1
81,8,12,0,0,0,10,6,1.1659077038,255.736360,243.016961,12.719399,238.300188,247.733734,9.433546,1.0000000000,1.1416666667,4,2,2,1
82,8,13,0,0,0,13,10,1.1844861877,284.263640,323.678904,39.415264,322.928904,324.428904,1.500000,1.0000000000,1.1416666667,4,3,1,0
83,8,14,1,1,0,16,16,1.4577504468,307.330329,332.691590,25.361261,321.088605,344.294575,23.205970,1.1416666667,1.2833333333,4,4,0,2
84,8,15,2,2,0,15,17,1.5154585480,321.807275,334.995203,13.187928,320.415311,349.575095,29.159783,1.2833333333,1.4250000000,4,4,0,3
85,8,16,2,3,1,16,16,1.5335001657,330.667020,330.508571,0.158449,323.294445,337.722697,14.428252,1.4250000000,1.5666666667,4,3,1,1
86,8,17,2,3,1,17,17,1.5641342581,336.391550,343.772456,7.380906,337.722697,349.822215,12.099518,1.4250000000,1.5666666667,4,2,2,2
87,8,18,3,3,0,17,18,1.6394510173,340.323023,350.572215,10.249192,349.822215,351.322215,1.500000,1.4250000000,1.5666666667,3,3,0,1
88,8,19,4,4,0,15,18,1.7016363123,343.164910,345.427768,2.262858,338.054383,352.801152,14.746769,1.5666666667,1.7083333333,3,3,0,3
89,8,20,4,5,1,16,17,1.7792149507,345.305690,348.402826,3.097135,339.493086,357.312566,17.819480,1.7083333333,1.8500000000,3,3,0,1
90,8,21,5,5,0,16,16,1.8467201182,346.971854,332.029975,14.941879,324.566865,339.493086,14.926221,1.7083333333,1.8500000000,1,1,0,2
91,9,7,5,4,1,1,1,1.8219573512,186.797646,195.033373,8.235728,186.797646,203.269101,16.471455,1.5666666667,1.7083333333,3,2,1,2
92,9,8,3,3,0,1,1,1.6352188342,188.289117,195.011103,6.721986,186.797646,203.224559,16.426914,1.4250000000,1.5666666667,4,3,1,3
93,9,9,1,2,1,1,1,1.4842437877,190.609294,191.411977,0.802682,186.797646,196.026307,9.228661,1.2833333333,1.4250000000,4,3,1,2
