cell_id,layer,slot_in_layer,source_radius,source_theta_deg,theta_left_deg,theta_right_deg,r_inner,r_outer
107,2,13,1.4410657543,169.3907056413,160.0290257917,179.9999999989,1.3500994502,1.4922821116
93,2,14,1.4842437877,190.6092943564,179.9999999989,195.1431356097,1.3500994502,1.4922821116
76,2,15,1.4447196465,199.6769768631,195.1431356097,201.6427135548,1.3500994502,1.4922821116
77,2,16,1.3608186599,203.6084502464,201.6427135548,207.2016117806,1.3500994502,1.4922821116
64,2,17,1.4741092133,210.7947733147,207.2016117806,213.4329245610,1.3500994502,1.4922821116
65,2,18,1.3767407495,216.0710758073,213.4329245610,217.9562375620,1.3500994502,1.4922821116
51,2,19,1.4579935767,219.8413993166,217.9562375620,222.7017242772,1.3500994502,1.4922821116
52,2,20,1.4186321190,225.5620492378,222.7017242772,229.1150181224,1.3500994502,1.4922821116
53,2,21,1.3908789361,232.6679870070,229.1150181224,237.0440692219,1.3500994502,1.4922821116
54,2,22,1.4156956038,241.4201514368,237.0440692219,246.6602449670,1.3500994502,1.4922821116
55,2,23,1.4176416900,251.9003384971,246.6602449670,253.8185621203,1.3500994502,1.4922821116
40,2,24,1.4977068227,255.7367857434,253.8185621203,259.7594023965,1.3500994502,1.4922821116
56,2,25,1.3504491640,263.7820190495,259.7594023965,264.4691416042,1.3500994502,1.4922821116
41,2,26,1.4485387719,265.1562641588,264.4691416042,270.6871225549,1.3500994502,1.4922821116
57,2,27,1.4355269680,276.2179809510,270.6871225549,282.1588212259,1.3500994502,1.4922821116
58,2,28,1.4271257510,288.0996615007,282.1588212259,297.7149952553,1.3500994502,1.4922821116
83,2,29,1.4577504467,307.3303290098,297.7149952553,328.3605173260,1.3500994502,1.4922821116
138,3,1,1.5801327138,127.3317288298,106.2439964941,141.8617794613,1.4922821116,1.6000134268
121,3,2,1.5225720013,156.3918300927,141.8617794613,164.0513564893,1.4922821116,1.6000134268
106,3,3,1.5916110297,171.7108828858,164.0513564893,184.2729864980,1.4922821116,1.6000134268
