cell_id,row,col,corner_index,source_lon,source_lat,theta_rad,theta_deg,rho_unclipped,R,annulus_x,annulus_y
90,8,21,2,117.4000060000,40.1000000000,5.9996607797,343.755241,1.1346720794,1.9644712675,1.8860406323,-0.5495435327
90,8,21,3,117.4000060000,40.2000000000,6.1385152991,351.711019,1.0235298930,1.8700004090,1.8504655121,-0.2695902786
90,8,21,4,117.3000060000,40.2000000000,6.1207310321,350.692056,0.9147458522,1.7775339744,1.7541297174,-0.2874995035
91,9,7,1,115.9000000000,40.2000000000,3.3567434258,192.327231,0.9617485131,1.8174862361,-1.7755826664,-0.3880237274
91,9,7,2,116.0000000000,40.2000000000,3.3980575577,194.694357,0.6684956273,1.5682212832,-1.5169290655,-0.3977992000
91,9,7,3,116.0000000000,40.3000000000,3.1415952760,180.000150,0.8961819462,1.7617546543,-1.7617546543,-0.0000046200
91,9,7,4,115.9000000000,40.3000000000,3.1415948389,180.000125,1.0754180666,1.9141053566,-1.9141053566,-0.0000041829
92,9,8,1,116.0000000000,40.2000000000,3.3980575577,194.694357,0.6684956273,1.5682212832,-1.5169290655,-0.3977992000
92,9,8,2,116.1000000000,40.2000000000,3.4583547619,198.149132,0.3955847068,1.3362470007,-1.2697673400,-0.4162294431
92,9,8,3,116.1000000000,40.3000000000,3.1415959316,180.000188,0.7169458257,1.6094039519,-1.6094039519,-0.0000052756
92,9,8,4,116.0000000000,40.3000000000,3.1415952760,180.000150,0.8961819462,1.7617546543,-1.7617546543,-0.0000046200
93,9,9,1,116.0999940000,40.2000000000,3.4583503220,198.148878,0.3955962517,1.3362568139,-1.2697785130,-0.4162268622
93,9,9,2,116.1999940000,40.2000000000,3.5536317257,203.608100,0.2829980718,1.2405483611,-1.1367220598,-0.4968130380
93,9,9,3,116.1999940000,40.3000000000,3.1415970241,180.000250,0.5377204595,1.4570623905,-1.4570623905,-0.0000063681
93,9,9,4,116.0999940000,40.3000000000,3.1415959315,180.000188,0.7169565799,1.6094130929,-1.6094130929,-0.0000052755
94,9,10,1,116.2000000000,40.2000000000,3.5536390649,203.608520,0.2829955504,1.2405462179,-1.1367164498,-0.4968205223
94,9,10,2,116.3000000000,40.2000000000,3.7218942167,213.248830,0.1889009741,1.1605658280,-0.9705781243,-0.6363105734
94,9,10,3,116.3000000000,40.3000000000,3.1415992095,180.000376,0.3584735849,1.3047025471,-1.3047025471,-0.0000085535
94,9,10,4,116.2000000000,40.3000000000,3.1415970242,180.000250,0.5377097053,1.4570532495,-1.4570532495,-0.0000063682
95,9,11,1,116.3000060000,40.2000000000,3.7219079726,213.249619,0.1888948374,1.1605606118,-0.9705650088,-0.6363210646
95,9,11,2,116.4000060000,40.2000000000,4.0608630798,232.670316,0.1313818529,1.1116745750,-0.6741199575,-0.8839585078
95,9,11,3,116.4000060000,40.3000000000,3.1416057662,180.000751,0.1792267102,1.1523427037,-1.1523427036,-0.0000151103
95,9,11,4,116.3000060000,40.3000000000,3.1415992097,180.000376,0.3584628307,1.3046934061,-1.3046934061,-0.0000085537
96,9,12,1,116.4000000000,40.2000000000,4.0608341476,232.668658,0.1313868098,1.1116787883,-0.6741480871,-0.8839423539
96,9,12,2,116.5000000000,40.2000000000,4.7123889804,270.000000,0.1329899769,1.1130414804,-0.0000000000,-1.1130414804
96,9,12,3,116.5000000000,40.3000000000,4.7123889804,270.000000,0.0000013299,1.0000011304,-0.0000000000,-1.0000011304
96,9,12,4,116.4000000000,40.3000000000,3.1416057654,180.000751,0.1792374644,1.1523518447,-1.1523518446,-0.0000151095
97,9,13,1,116.5000000000,40.2000000000,4.7123889804,270.000000,0.1329899769,1.1130414804,-0.0000000000,-1.1130414804
97,9,13,2,116.6000000000,40.2000000000,5.3639438132,307.331342,0.3590306492,1.3051760518,0.7914893654,-1.0378001304
97,9,13,3,116.6000000000,40.3000000000,6.2831721953,359.999249,0.1274780989,1.1083563841,1.1083563840,-0.0000145326
