cell_id,row,col,center_x,center_y,vertex_count,signed_area,area
105,10,7,-1.7253117590,0.1904115297,4,0.0565015956,0.0565015956
106,10,8,-1.5806157525,0.2020054010,4,0.0551757578,0.0551757578
107,10,9,-1.4260152021,0.2431115993,4,0.0700561641,0.0700561641
108,10,10,-1.2698259318,0.2937399299,4,0.0800406581,0.0800406581
109,10,11,-1.0538747176,0.4483960086,4,0.1556900731,0.1556900731
110,10,12,-0.5893267102,0.7026813307,4,0.4084648782,0.4084648782
111,10,13,0.5668915116,0.6945618493,4,0.3794782820,0.3794782820
112,10,14,1.0001504374,0.4495629026,4,0.1264588710,0.1264588710
113,10,15,1.1831691745,0.2940276986,4,0.0616451729,0.0616451729
114,10,16,1.3252493653,0.2687561693,4,0.0776950429,0.0776950429
115,10,17,1.4690775990,0.2147922440,4,0.0469146918,0.0469146918
116,10,18,1.5867607249,0.1962203187,4,0.0460649946,0.0460649946
117,10,19,1.7093519941,0.1799393547,4,0.0422364062,0.0422364062
118,10,20,1.8287932318,0.1660930573,4,0.0381393827,0.0381393827
119,11,6,-1.6966005574,0.4942735802,4,0.0347114223,0.0347114223
120,11,7,-1.5574694334,0.5383266865,4,0.0390958382,0.0390958382
121,11,8,-1.4185014024,0.6168317543,4,0.0434040195,0.0434040195
122,11,9,-1.2765132999,0.7094061054,4,0.0555371811,0.0555371811
123,11,10,-1.0894195518,0.8808840173,4,0.0875574803,0.0875574803
124,11,11,-0.8088637446,1.0368780082,4,0.0937733159,0.0937733159
125,11,12,-0.3449678075,1.1452672666,4,0.1160084426,0.1160084426
126,11,13,0.3268042235,1.1242865467,4,0.1012590400,0.1012590400
127,11,14,0.7750881250,0.9942647117,4,0.0753942557,0.0753942557
128,11,15,1.0246263578,0.8258123856,4,0.0578342984,0.0578342984
129,11,16,1.2165013742,0.6552837183,4,0.0562374812,0.0562374812
130,11,17,1.3932408423,0.5133758777,4,0.0094428327,0.0094428327
131,11,18,1.4675079315,0.5131149700,4,0.0285392795,0.0285392795
132,11,19,1.6253000852,0.5022594580,4,0.0507249779,0.0507249779
133,11,20,1.7987433146,0.4762520337,4,0.0407345633,0.0407345633
134,12,6,-1.6019737689,0.8072516673,4,0.0335894025,0.0335894025
135,12,7,-1.4988481308,0.8894547873,4,0.0340105461,0.0340105461
136,12,8,-1.3758294908,1.0175716286,4,0.0660032953,0.0660032953
137,12,9,-1.1991497873,1.1421502134,4,0.0596088014,0.0596088014
138,12,10,-0.9570449460,1.2412172144,4,0.0691878295,0.0691878295
139,12,11,-0.6190152600,1.3296253461,4,0.0777985087,0.0777985087
140,12,12,-0.2395478887,1.3460847185,4,0.0801704377,0.0801704377
141,12,13,0.2082435228,1.2966725754,4,0.0542516947,0.0542516947
142,12,14,0.5902502406,1.2468117506,4,0.0525875576,0.0525875576
143,12,15,0.8934791729,1.1614746976,4,0.0535259824,0.0535259824
144,12,16,1.1064001810,1.0486010713,4,0.0504344822,0.0504344822
145,12,17,1.2408393918,0.9242867633,4,0.0299216530,0.0299216530
146,12,18,1.3496395384,0.8030206739,4,0.0409998436,0.0409998436
147,12,19,1.4999459584,0.7078842328,4,0.0290226398,0.0290226398
148,12,20,1.7362862764,0.6235192087,4,0.0052814429,0.0052814429
149,13,9,-1.0985304683,1.4317440859,4,0.0572883791,0.0572883791
150,13,10,-0.8200732692,1.4821079499,4,0.0564763510,0.0564763510
151,13,11,-0.5349555244,1.5072089694,4,0.0327532299,0.0327532299
152,13,12,-0.1446119297,1.4650331838,4,0.0291143523,0.0291143523
153,13,13,0.1368749219,1.4166270318,4,0.0282620799,0.0282620799
154,13,14,0.4858486024,1.4026569450,4,0.0380600031,0.0380600031
155,13,15,0.7582266610,1.3765447491,4,0.0434972893,0.0434972893
156,13,16,1.0144274182,1.3224160357,4,0.0439631213,0.0439631213
157,13,17,1.2082734385,1.2434547399,4,0.0412385541,0.0412385541
158,13,18,1.3411019765,1.1245745257,4,0.0345875583,0.0345875583
159,13,19,1.4361683452,1.0309681256,4,0.0219579904,0.0219579904
160,13,20,1.5141475517,0.9410472816,4,0.0293367853,0.0293367853
161,13,21,1.6124105137,0.8636818038,4,0.0370834425,0.0370834425
162,14,10,-0.7114858579,1.6852155222,4,0.0543604520,0.0543604520
163,14,11,-0.4428924459,1.6546978375,4,0.0621221258,0.0621221258
164,14,12,-0.1350244957,1.5707567827,4,0.0333984176,0.0333984176
165,14,13,0.1228938778,1.5237926664,4,0.0287293839,0.0287293839
166,14,14,0.4015177860,1.5273429028,4,0.0406094940,0.0406094940
167,14,15,0.6626760683,1.5482757139,4,0.0376313964,0.0376313964
168,14,16,0.9030484647,1.5136953731,4,0.0374354716,0.0374354716
169,15,12,-0.1289073455,1.7114640466,4,0.0377897167,0.0377897167
170,15,13,0.1094439982,1.6441085247,4,0.0262289703,0.0262289703
171,15,14,0.3502483418,1.6498556183,4,0.0333770828,0.0333770828
172,15,15,0.5953613952,1.6964698506,4,0.0313093502,0.0313093502
173,16,12,-0.1157035257,1.8565234301,4,0.0311052553,0.0311052553
174,16,13,0.1106473015,1.7827408497,4,0.0326943467,0.0326943467
175,16,14,0.3072352970,1.7794474055,4,0.0340150067,0.0340150067
176,17,14,0.2612445770,1.8980070362,4,0.0115493788,0.0115493788
