cell_id,row,col,center_lon,center_lat,theta_rad,theta_deg,rho,R,X_center,Y_center,fixed_cell_side
82,8,13,116.5500000000,40.1500000000,4.9613364601,284.263640,0.2170425738,1.1844861877,0.2918384715,-1.1479711823,0.1554741767
83,8,14,116.6499940000,40.1500000000,5.3639261325,307.330329,0.5385299374,1.4577504468,0.8839935623,-1.1591340504,0.1554741767
84,8,15,116.7500000000,40.1500000000,5.6165965034,321.807275,0.6064218212,1.5154585480,1.1910525299,-0.9370210679,0.1554741767
85,8,16,116.8500060000,40.1500000000,5.7712282212,330.667020,0.6276472537,1.5335001657,1.3368861715,-0.7512377272,0.1554741767
86,8,17,116.9500000000,40.1500000000,5.8711401190,336.391550,0.6636873625,1.5641342581,1.4332219677,-0.6264110221,0.1554741767
87,8,18,117.0500000000,40.1500000000,5.9397572741,340.323023,0.7522953144,1.6394510173,1.5437167894,-0.5520308979,0.1554741767
88,8,19,117.1499940000,40.1500000000,5.9893575549,343.164910,0.8254544850,1.7016363123,1.6287081005,-0.4928245761,0.1554741767
89,8,20,117.2500000000,40.1500000000,6.0267212210,345.305690,0.9167234714,1.7792149507,1.7210220778,-0.4513190098,0.1554741767
90,8,21,117.3500060000,40.1500000000,6.0558012683,346.971854,0.9961413155,1.8467201182,1.7991845140,-0.4163055123,0.1554741767
91,9,7,115.9500000000,40.2500000000,3.2602339547,186.797646,0.9670086485,1.8219573512,-1.8091496693,-0.2156526463,0.1554741767
92,9,8,116.0500000000,40.2500000000,3.2862650393,188.289117,0.7473162755,1.6352188342,-1.6181360146,-0.2357466307,0.1554741767
93,9,9,116.1499940000,40.2500000000,3.3267597714,190.609294,0.5696985738,1.4842437877,-1.4588713766,-0.2732653069,0.1554741767
94,9,10,116.2500000000,40.2500000000,3.3980600113,194.694497,0.3342471592,1.2841100853,-1.2421095665,-0.3257338423,0.1554741767
95,9,11,116.3500060000,40.2500000000,3.5536574138,203.609572,0.1414960385,1.1202716327,-1.0265002320,-0.4486711544,0.1554741767
96,9,12,116.4500000000,40.2500000000,4.0608389694,232.668934,0.0656936488,1.0558396014,-0.6402818466,-0.8395453656,0.1554741767
97,9,13,116.5500000000,40.2500000000,5.3639389913,307.331066,0.1795158251,1.1525884513,0.6989522470,-0.9164747102,0.1554741767
98,9,14,116.6499940000,40.2500000000,5.8711205470,336.390428,0.2212269163,1.1880428789,1.0885987426,-0.4758136816,0.1554741767
99,9,15,116.7500000000,40.2500000000,6.0267179495,345.305503,0.3055809719,1.2597438261,1.2185402760,-0.3195529740,0.1554741767
100,9,16,116.8500060000,40.2500000000,6.0980181893,349.390706,0.4029843916,1.3425367329,1.3195867335,-0.2471755081,0.1554741767
101,9,17,116.9500000000,40.2500000000,6.1385129215,351.710883,0.5117619053,1.4349976195,1.4200064728,-0.2068810894,0.1554741767
102,9,18,117.0500000000,40.2500000000,6.1645440060,353.202354,0.6205459460,1.5274640541,1.5167265504,-0.1807954863,0.1554741767
103,9,19,117.1499940000,40.2500000000,6.1826618690,354.240431,0.7652473530,1.6504602500,1.6421283509,-0.1656306612,0.1554741767
104,9,20,117.2500000000,40.2500000000,6.1959927962,355.004237,0.8860241691,1.7531205437,1.7464606854,-0.1526653699,0.1554741767
105,10,7,115.9500000000,40.3500020000,3.0229513525,173.202354,0.9459759893,1.8040795909,-1.7913975829,0.2135365779,0.1554741767
106,10,8,116.0500000000,40.3500020000,2.9969202679,171.710883,0.6960129762,1.5916110298,-1.5749837726,0.2294597700,0.1554741767
107,10,9,116.1499940000,40.3500020000,2.9564255357,169.390706,0.5189008874,1.4410657543,-1.4164314502,0.2653157648,0.1554741767
108,10,10,116.2500000000,40.3500020000,2.8851252959,165.305503,0.3435421998,1.2920108698,-1.2497519331,0.3277379951,0.1554741767
109,10,11,116.3500060000,40.3500020000,2.7295278934,156.390428,0.2049292118,1.1741898300,-1.0759052517,0.4702655062,0.1554741767
110,10,12,116.4500000000,40.3500020000,2.2223463378,127.331066,0.1365035626,1.1160280282,-0.6767812893,0.8874038800,0.1554741767
111,10,13,116.5500000000,40.3500020000,0.9192463158,52.668934,0.1143537955,1.0972007262,0.6653640440,0.8724334488,0.1554741767
112,10,14,116.6499940000,40.3500020000,0.4120647602,23.609572,0.1642514760,1.1396137546,1.0442233377,0.4564177150,0.1554741767
113,10,15,116.7500000000,40.3500020000,0.2564673577,14.694497,0.3309577787,1.2813141119,1.2394050435,0.3250246016,0.1554741767
114,10,16,116.8500060000,40.3500020000,0.1851671178,10.609294,0.4785160982,1.4067386835,1.3826911836,0.2589957804,0.1554741767
115,10,17,116.9500000000,40.3500020000,0.1446723857,8.289117,0.6195827111,1.5266453044,1.5106967319,0.2200937753,0.1554741767
116,10,18,117.0500000000,40.3500020000,0.1186413011,6.797646,0.7531137397,1.6401466787,1.6286170581,0.1941329589,0.1554741767
117,10,19,117.1499940000,40.3500020000,0.1005234382,5.759569,0.8752207537,1.7439376407,1.7351338465,0.1750115124,0.1554741767
118,10,20,117.2500000000,40.3500020000,0.0871925110,4.995763,0.9973424215,1.8477410583,1.8407217499,0.1609051204,0.1554741767
119,11,6,115.8500060000,40.4500000000,2.8477685974,163.165122,0.8991313743,1.7642616682,-1.6886513664,0.5109557676,0.1554741767
120,11,7,115.9500000000,40.4500000000,2.7981688479,160.323265,0.7221125200,1.6137956420,-1.5195618331,0.5433858752,0.1554741767
121,11,8,116.0500000000,40.4500000000,2.7295523583,156.391830,0.6147905898,1.5225720013,-1.3951413026,0.6097591696,0.1554741767
122,11,9,116.1499940000,40.4500000000,2.6296412619,150.667346,0.5218465361,1.4435695557,-1.2584898228,0.7071749628,0.1554741767
123,11,10,116.2500000000,40.4500000000,2.4750103292,141.807646,0.5128220975,1.4358987829,-1.1285294461,0.8878212681,0.1554741767
124,11,11,116.3500060000,40.4500000000,2.2223399081,127.330697,0.4094972201,1.3480726371,-0.8174908000,1.0719181997,0.1554741767
125,11,12,116.4500000000,40.4500000000,1.8197469904,104.263822,0.3184220420,1.2706587357,-0.3130739314,1.2314862306,0.1554741767
126,11,13,116.5500000000,40.4500000000,1.3218456632,75.736178,0.2391455825,1.2032737452,0.2964711384,1.1661786183,0.1554741767
127,11,14,116.6499940000,40.4500000000,0.9192527455,52.669303,0.3430499560,1.2915924626,0.7832404030,1.0270080626,0.1554741767
128,11,15,116.7500000000,40.4500000000,0.6665823244,38.192354,0.3773307584,1.3207311446,1.0380146601,0.8166127122,0.1554741767
129,11,16,116.8500060000,40.4500000000,0.5119513917,29.332654,0.3910658527,1.3324059748,1.1615785000,0.6527182164,0.1554741767
130,11,17,116.9500000000,40.4500000000,0.4120402953,23.608170,0.4927687861,1.4188534681,1.3001034263,0.5682220032,0.1554741767
131,11,18,117.0500000000,40.4500000000,0.3434238057,19.676735,0.7707119410,1.6551051499,1.5584591693,0.5572953210,0.1554741767
132,11,19,117.1499940000,40.4500000000,0.2938240562,16.834878,0.8817838435,1.7495162669,1.6745379033,0.5066852856,0.1554741767
133,11,20,117.2500000000,40.4500000000,0.2564608147,14.694122,0.9928690754,1.8439387141,1.7836304479,0.4677311261,0.1554741767
134,12,6,115.8500060000,40.5500000000,2.6745070306,153.237965,0.9563998962,1.8129399117,-1.6187457316,0.8163414604,0.1554741767
135,12,7,115.9500000000,40.5500000000,2.6041259851,149.205428,0.8574214507,1.7288082331,-1.4850608022,0.8850832281,0.1554741767
136,12,8,116.0500000000,40.5500000000,2.5120374233,143.929142,0.8090912135,1.6877275315,-1.3641723786,0.9937091838,0.1554741767
137,12,9,116.1499940000,40.5500000000,2.3889516969,136.876850,0.7960839829,1.6766713854,-1.2237792070,1.1461201451,0.1554741767
138,12,10,116.2500000000,40.5500000000,2.2223579103,127.331729,0.6825090750,1.5801327138,-0.9582380150,1.2564232168,0.1554741767
139,12,11,116.3500060000,40.5500000000,1.9999396097,114.588099,0.5487914128,1.4664727009,-0.6101874463,1.3334967053,0.1554741767
140,12,12,116.4500000000,40.5500000000,1.7221638556,98.672721,0.3891456721,1.3307738213,-0.2006676045,1.3155574773,0.1554741767
141,12,13,116.5500000000,40.5500000000,1.4194287980,81.327279,0.3298350151,1.2803597628,0.1930656603,1.2657198636,0.1554741767
142,12,14,116.6499940000,40.5500000000,1.1416530439,65.411901,0.4595346991,1.3906044943,0.5786192983,1.2645080337,0.1554741767
143,12,15,116.7500000000,40.5500000000,0.9192347433,52.668271,0.5717621026,1.4859977872,0.9011518826,1.1815729804,0.1554741767
