cell_id,row,col,initial_layer,optimized_layer,layer_changed,initial_slot,optimized_slot,source_radius,source_theta_deg,optimized_center_theta_deg,angular_displacement_deg,theta_left_deg,theta_right_deg,angular_width_deg,r_inner,r_outer,original_degree,preserved_degree,lost_degree,new_degree
59,6,15,2,2,0,14,16,1.5808718218,298.821951,313.999487,15.177536,310.337040,317.661934,7.324895,1.2833333333,1.4250000000,3,2,1,3
60,7,3,5,5,0,1,1,1.8879217814,197.876260,195.749599,2.126661,186.998379,204.500819,17.502440,1.7083333333,1.8500000000,2,1,1,3
61,7,4,4,4,0,3,2,1.7195827871,200.307551,207.533033,7.225482,202.808108,212.257957,9.449850,1.5666666667,1.7083333333,3,3,0,4
62,7,5,3,3,0,2,4,1.6233656478,203.383954,211.219994,7.836039,210.469994,211.969994,1.500000,1.4250000000,1.5666666667,3,3,0,1
63,7,6,2,3,1,2,3,1.5299123613,207.006195,208.002057,0.995862,205.534121,210.469994,4.935873,1.4250000000,1.5666666667,4,3,1,2
64,7,7,1,2,1,3,3,1.4485626558,211.005905,207.414872,3.591033,205.012386,209.817359,4.804973,1.2833333333,1.4250000000,4,3,1,2
65,7,8,1,1,0,4,3,1.3758722931,215.705979,211.483714,4.222265,203.962576,219.004852,15.042276,1.1416666667,1.2833333333,4,2,2,4
66,7,9,0,0,0,5,5,1.3105784297,222.999627,229.125870,6.126243,221.578221,236.673519,15.095299,1.0000000000,1.1416666667,4,2,2,2
67,7,10,0,1,1,8,4,1.2798446859,232.558425,224.833205,7.725220,219.004852,230.661559,11.656707,1.1416666667,1.2833333333,4,2,2,3
68,7,11,0,1,1,9,9,1.2746232897,244.655089,263.413865,18.758776,262.663865,264.163865,1.500000,1.1416666667,1.2833333333,4,2,2,2
69,7,12,0,1,1,11,8,1.2647484300,261.135476,261.539447,0.403971,260.415030,262.663865,2.248834,1.1416666667,1.2833333333,4,2,2,2
70,7,13,0,1,1,12,13,1.2799597753,279.220487,307.624293,28.403807,306.874293,308.374293,1.500000,1.1416666667,1.2833333333,4,3,1,1
71,7,14,1,2,1,14,15,1.3736384734,294.387317,308.422061,14.034743,306.507082,310.337040,3.829958,1.2833333333,1.4250000000,4,3,1,2
72,7,15,3,3,0,17,18,1.6878906128,308.205746,321.446829,13.241083,316.920600,325.973059,9.052459,1.4250000000,1.5666666667,4,3,1,2
73,7,16,5,4,1,14,17,1.8162270085,316.233182,328.348237,12.115055,317.754459,338.942016,21.187558,1.5666666667,1.7083333333,3,3,0,3
74,7,17,5,5,0,15,16,1.8461102862,323.491565,329.090604,5.599039,320.272671,337.908537,17.635866,1.7083333333,1.8500000000,2,1,1,2
75,8,6,4,4,0,2,1,1.7528947846,194.691878,194.903243,0.211365,186.998379,202.808108,15.809729,1.5666666667,1.7083333333,2,1,1,4
76,8,7,3,3,0,1,2,1.6017779774,197.054111,200.345337,3.291226,195.156554,205.534121,10.377567,1.4250000000,1.5666666667,4,4,0,2
77,8,8,1,2,1,2,2,1.4034260313,202.458220,200.508884,1.949336,196.005382,205.012386,9.007004,1.2833333333,1.4250000000,4,4,0,1
78,8,9,0,1,1,3,2,1.2735307804,209.128837,200.062521,9.066316,196.162465,203.962576,7.800111,1.1416666667,1.2833333333,4,2,2,2
79,8,10,0,0,0,4,4,1.2015392509,218.150897,220.828221,2.677324,220.078221,221.578221,1.500000,1.0000000000,1.1416666667,4,1,3,2
80,8,11,0,0,0,7,6,1.1577236774,232.082838,247.933951,15.851113,236.673519,259.194383,22.520864,1.0000000000,1.1416666667,4,1,3,3
81,8,12,0,0,0,10,7,1.1257302605,254.061643,266.967695,12.906052,259.194383,274.741006,15.546623,1.0000000000,1.1416666667,4,3,1,2
82,8,13,0,0,0,13,8,1.1749675352,285.456043,293.049284,7.593241,274.741006,311.357562,36.616556,1.0000000000,1.1416666667,4,4,0,2
83,8,14,1,1,0,15,14,1.3826488024,308.506051,321.444103,12.938053,308.374293,334.513914,26.139620,1.1416666667,1.2833333333,4,4,0,4
84,8,15,2,2,0,15,17,1.4892416756,320.688582,328.212335,7.523753,317.661934,338.762736,21.100801,1.2833333333,1.4250000000,4,4,0,2
85,8,16,2,3,1,16,19,1.5209576243,329.995347,332.457343,2.461996,325.973059,338.941628,12.968569,1.4250000000,1.5666666667,4,3,1,1
86,8,17,2,3,1,17,20,1.5796868359,335.693784,339.691628,3.997844,338.941628,340.441628,1.500000,1.4250000000,1.5666666667,4,3,1,1
87,8,18,3,3,0,18,21,1.6374736257,340.141356,347.463787,7.322431,340.441628,354.485946,14.044318,1.4250000000,1.5666666667,3,3,0,1
88,8,19,4,4,0,16,18,1.7063102965,342.946609,346.648441,3.701832,338.942016,354.354865,15.412849,1.5666666667,1.7083333333,3,2,1,4
89,8,20,5,5,0,16,18,1.7820097933,345.332608,352.967872,7.635264,348.724417,357.211327,8.486910,1.7083333333,1.8500000000,3,3,0,1
90,8,21,5,5,0,17,17,1.8674197900,346.852846,343.316477,3.536369,337.908537,348.724417,10.815880,1.7083333333,1.8500000000,1,1,0,2
91,9,7,4,3,1,1,1,1.7468032697,186.998379,191.077466,4.079088,186.998379,195.156554,8.158175,1.4250000000,1.5666666667,3,2,1,2
92,9,8,2,2,0,1,1,1.5440306549,188.111521,191.501881,3.390360,186.998379,196.005382,9.007004,1.2833333333,1.4250000000,4,4,0,0
93,9,9,1,1,0,1,1,1.3990214674,188.346647,191.580422,3.233775,186.998379,196.162465,9.164087,1.1416666667,1.2833333333,4,4,0,0
94,9,10,0,0,0,1,1,1.2553142120,191.889062,191.954242,0.065181,186.998379,196.910106,9.911727,1.0000000000,1.1416666667,4,3,1,0
95,9,11,0,0,0,2,2,1.0885528914,200.882919,200.814504,0.068415,196.910106,204.718902,7.808796,1.0000000000,1.1416666667,4,2,2,1
96,9,12,0,0,0,6,3,0.8770316710,230.203072,212.398561,17.804511,204.718902,220.078221,15.359319,1.0000000000,1.1416666667,4,1,3,2
97,9,13,0,0,0,14,9,0.9319510572,309.873051,318.291750,8.418698,311.357562,325.225937,13.868375,1.0000000000,1.1416666667,4,2,2,1
98,9,14,0,0,0,15,10,1.1537006557,334.262358,341.436405,7.174048,325.225937,357.646874,32.420937,1.0000000000,1.1416666667,4,3,1,1
99,9,15,0,1,1,16,15,1.2680866157,344.911600,348.334182,3.422583,334.513914,362.154451,27.640537,1.1416666667,1.2833333333,4,4,0,3
100,9,16,1,2,1,16,19,1.3675315122,349.706176,1.555901,11.849725,359.863537,363.248266,3.384729,1.2833333333,1.4250000000,4,3,1,2
101,9,17,1,2,1,17,18,1.4667054953,352.035973,349.313136,2.722836,338.762736,359.863537,21.100801,1.2833333333,1.4250000000,4,3,1,3
102,9,18,2,3,1,18,22,1.5653888660,353.699458,357.153712,3.454254,354.485946,359.821478,5.335532,1.4250000000,1.5666666667,4,4,0,1
103,9,19,3,4,1,19,20,1.6638083028,354.563816,359.141035,4.577219,357.545645,360.736425,3.190780,1.5666666667,1.7083333333,4,3,1,2
104,9,20,4,4,0,17,19,1.7658575108,355.295813,355.950255,0.654442,354.354865,357.545645,3.190780,1.5666666667,1.7083333333,3,3,0,2
105,10,7,4,4,0,29,34,1.7357872037,173.702122,177.071283,3.369161,527.144187,546.998379,19.854192,1.5666666667,1.7083333333,3,1,2,3
106,10,8,2,2,0,29,28,1.5934717879,172.716982,174.876376,2.159394,522.754373,546.998379,24.244005,1.2833333333,1.4250000000,4,3,1,1
107,10,9,1,1,0,29,25,1.4465899925,170.325051,172.797308,2.472258,518.596238,546.998379,28.402141,1.1416666667,1.2833333333,4,4,0,1
108,10,10,0,0,0,30,23,1.3033576039,166.975263,170.804420,3.829157,514.610462,546.998379,32.387917,1.0000000000,1.1416666667,4,3,1,1
109,10,11,0,0,0,29,21,1.1452994809,156.951522,143.268940,13.682582,501.851396,504.686484,2.835089,1.0000000000,1.1416666667,4,2,2,1
110,10,12,0,0,0,28,22,0.9170970635,129.985980,149.648473,19.662493,504.686484,514.610462,9.923977,1.0000000000,1.1416666667,4,1,3,2
111,10,13,0,0,0,21,13,0.8965389832,50.779165,38.044464,12.734701,394.852239,401.236689,6.384449,1.0000000000,1.1416666667,4,1,3,2
112,10,14,0,0,0,19,12,1.0965435243,24.203692,32.880619,8.676927,390.908999,394.852239,3.943240,1.0000000000,1.1416666667,4,2,2,1
113,10,15,0,0,0,18,11,1.2191560947,13.955790,14.277936,0.322146,357.646874,390.908999,33.262125,1.0000000000,1.1416666667,4,3,1,1
114,10,16,0,1,1,17,16,1.3522262232,11.463924,15.974720,4.510796,362.154451,389.794988,27.640537,1.1416666667,1.2833333333,4,4,0,1
115,10,17,1,2,1,18,20,1.4846968378,8.318215,16.249004,7.930788,363.248266,389.249741,26.001476,1.2833333333,1.4250000000,4,3,1,2
116,10,18,3,3,0,20,23,1.5988470883,7.049462,11.721173,4.671711,359.821478,383.620868,23.799390,1.4250000000,1.5666666667,4,4,0,2
