edge_id,cell_id_a,cell_id_b,index_a,index_b,row_a,col_a,row_b,col_b,initial_layer_a,initial_layer_b,initial_layer_delta,source_radius_a,source_radius_b,source_theta_a_deg,source_theta_b_deg,source_angle_delta_deg,source_radius_delta,initial_edge_type
270,146,147,145,146,12,18,12,19,2,2,0,1.5897240702,1.5651550499,30.794572,26.762035,4.032537,0.0245690203,same_layer
271,146,158,145,157,12,18,13,18,2,4,2,1.5897240702,1.7462632400,30.794572,39.841238,9.046667,0.1565391698,long_layer_conflict
272,147,148,146,147,12,19,12,20,2,4,2,1.5651550499,1.6980894169,26.762035,23.608226,3.153809,0.1329343670,long_layer_conflict
273,147,159,146,158,12,19,13,19,2,4,2,1.5651550499,1.7689542832,26.762035,35.223151,8.461117,0.2037992333,long_layer_conflict
274,148,160,147,159,12,20,13,20,4,5,1,1.6980894169,1.8183097522,23.608226,31.461840,7.853614,0.1202203354,adjacent_layer
275,149,150,148,149,13,9,13,10,5,4,1,1.8121927904,1.7011447536,127.332171,118.579986,8.752185,0.1110480368,adjacent_layer
276,150,151,149,150,13,10,13,11,4,3,1,1.7011447536,1.6528675377,118.579986,108.099758,10.480228,0.0482772159,adjacent_layer
277,150,162,149,161,13,10,14,10,4,5,1,1.7011447536,1.8077609722,118.579986,112.962644,5.617342,0.1066162186,adjacent_layer
278,151,152,150,151,13,11,13,12,3,1,2,1.6528675377,1.4926774161,108.099758,96.218016,11.881742,0.1601901216,long_layer_conflict
279,151,163,150,162,13,11,14,11,3,5,2,1.6528675377,1.8119803828,108.099758,104.263214,3.836544,0.1591128451,long_layer_conflict
280,152,153,151,152,13,12,13,13,1,1,0,1.4926774161,1.4334125936,96.218016,83.781984,12.436032,0.0592648225,same_layer
281,152,164,151,163,13,12,14,12,1,3,2,1.4926774161,1.6361565535,96.218016,94.843736,1.374280,0.1434791374,long_layer_conflict
282,153,154,152,153,13,13,13,14,1,2,1,1.4334125936,1.5028654508,83.781984,71.900242,11.881742,0.0694528573,adjacent_layer
283,153,165,152,164,13,13,14,13,1,2,1,1.4334125936,1.5537618229,83.781984,85.156264,1.374280,0.1203492294,adjacent_layer
284,154,155,153,154,13,14,13,15,2,2,0,1.5028654508,1.5710920621,71.900242,61.420014,10.480228,0.0682266113,same_layer
285,154,166,153,165,13,14,14,14,2,3,1,1.5028654508,1.6098153277,71.900242,75.736786,3.836544,0.1069498769,adjacent_layer
286,155,156,154,155,13,15,13,16,2,3,1,1.5710920621,1.6804031118,61.420014,52.667829,8.752185,0.1093110497,adjacent_layer
287,155,167,154,166,13,15,14,15,2,4,2,1.5710920621,1.6915690342,61.420014,67.037356,5.617342,0.1204769721,long_layer_conflict
288,156,157,155,156,13,16,13,17,3,4,1,1.6804031118,1.7537608416,52.667829,45.561886,7.105944,0.0733577299,adjacent_layer
289,156,168,155,167,13,16,14,16,3,4,1,1.6804031118,1.7599286349,52.667829,59.323669,6.655839,0.0795255231,adjacent_layer
290,157,158,156,157,13,17,13,18,4,4,0,1.7537608416,1.7462632400,45.561886,39.841238,5.720647,0.0074976017,same_layer
291,158,159,157,158,13,18,13,19,4,4,0,1.7462632400,1.7689542832,39.841238,35.223151,4.618087,0.0226910433,same_layer
292,159,160,158,159,13,19,13,20,4,5,1,1.7689542832,1.8183097522,35.223151,31.461840,3.761311,0.0493554690,adjacent_layer
293,160,161,159,160,13,20,13,21,5,5,0,1.8183097522,1.7811883130,31.461840,28.364377,3.097463,0.0371214392,same_layer
294,162,163,161,162,14,10,14,11,5,5,0,1.8077609722,1.8119803828,112.962644,104.263214,8.699429,0.0042194106,same_layer
295,163,164,162,163,14,11,14,12,5,3,2,1.8119803828,1.6361565535,104.263214,94.843736,9.419478,0.1758238293,long_layer_conflict
296,164,165,163,164,14,12,14,13,3,2,1,1.6361565535,1.5537618229,94.843736,85.156264,9.687472,0.0823947305,adjacent_layer
297,164,169,163,168,14,12,15,12,3,5,2,1.6361565535,1.7796385605,94.843736,93.966162,0.877574,0.1434820070,long_layer_conflict
298,165,166,164,165,14,13,14,14,2,3,1,1.5537618229,1.6098153277,85.156264,75.736786,9.419478,0.0560535048,adjacent_layer
299,165,170,164,169,14,13,15,13,2,3,1,1.5537618229,1.6760988830,85.156264,86.033838,0.877574,0.1223370600,adjacent_layer
300,166,167,165,166,14,14,14,15,3,4,1,1.6098153277,1.6915690342,75.736786,67.037356,8.699429,0.0817537065,adjacent_layer
301,166,171,165,170,14,14,15,14,3,3,0,1.6098153277,1.6454719594,75.736786,78.250469,2.513684,0.0356566317,same_layer
302,167,168,166,167,14,15,14,16,4,4,0,1.6915690342,1.7599286349,67.037356,59.323669,7.713688,0.0683596006,same_layer
303,167,172,166,171,14,15,15,15,4,5,1,1.6915690342,1.7989248011,67.037356,70.880268,3.842911,0.1073557669,adjacent_layer
304,169,170,168,169,15,12,15,13,5,3,2,1.7796385605,1.6760988830,93.966162,86.033838,7.932323,0.1035396775,long_layer_conflict
305,169,173,168,172,15,12,16,12,5,5,0,1.7796385605,1.8375043208,93.966162,93.357516,0.608645,0.0578657603,same_layer
306,170,171,169,170,15,13,15,14,3,3,0,1.6760988830,1.6454719594,86.033838,78.250469,7.783369,0.0306269235,same_layer
307,170,174,169,173,15,13,16,13,3,5,2,1.6760988830,1.8017069228,86.033838,86.642484,0.608645,0.1256080399,long_layer_conflict
308,171,172,170,171,15,14,15,15,3,5,2,1.6454719594,1.7989248011,78.250469,70.880268,7.370202,0.1534528417,long_layer_conflict
309,171,175,170,174,15,14,16,14,3,4,1,1.6454719594,1.7365887790,78.250469,80.018526,1.768056,0.0911168196,adjacent_layer
310,173,174,172,173,16,12,16,13,5,5,0,1.8375043208,1.8017069228,93.357516,86.642484,6.715033,0.0357973979,same_layer
311,174,175,173,174,16,13,16,14,5,4,1,1.8017069228,1.7365887790,86.642484,80.018526,6.623958,0.0651181438,adjacent_layer
312,175,176,174,175,16,14,17,14,4,5,1,1.7365887790,1.8410790820,80.018526,81.327644,1.309118,0.1044903030,adjacent_layer
